Restaurant_Name,City,Cuisine,Cost_for_Two,Online_Delivery,Table_Booking,Rating,Votes,Review
Flavour Hub,Hyderabad,Biryani,1050,Yes,No,2.0,494,Very bad service and food was cold.
Tasty Treats,Chennai,Fast Food,1966,Yes,Yes,2.5,71,Decent place for casual dining.
Spice Garden,Pune,Biryani,1175,Yes,Yes,3.6,465,It was an okay experience.
Urban Bites,Mumbai,Fast Food,582,Yes,No,3.3,428,"Food was okay, service was average."
Golden Spoon,Bangalore,Multi-cuisine,710,Yes,No,4.8,222,Staff was friendly and food quality was top notch.
Golden Spoon,Mumbai,Chinese,1574,No,No,3.8,47,Average taste and normal service.
Food Palace,Bangalore,North Indian,1477,No,Yes,4.2,107,Staff was friendly and food quality was top notch.
Food Palace,Delhi,Desserts,1847,No,No,2.0,349,Very bad service and food was cold.
Spice Garden,Pune,Fast Food,363,Yes,No,4.8,102,The food was amazing and service was excellent.
Urban Bites,Mumbai,Desserts,349,No,No,3.4,488,Average taste and normal service.
Tasty Treats,Hyderabad,North Indian,424,Yes,Yes,2.4,153,Staff was rude and slow.
Golden Spoon,Pune,South Indian,1622,No,Yes,2.2,330,Not worth the price at all.
Urban Bites,Chennai,Chinese,623,Yes,Yes,3.4,307,Decent place for casual dining.
Street Feast,Delhi,Chinese,1142,No,No,4.9,27,The food was amazing and service was excellent.
Curry House,Bangalore,Chinese,462,No,No,2.7,50,Decent place for casual dining.
Street Feast,Hyderabad,Biryani,310,No,Yes,3.7,79,Average taste and normal service.
Curry House,Hyderabad,Italian,1543,Yes,No,2.5,323,Nothing special but not bad either.
Flavour Hub,Bangalore,Chinese,1139,Yes,No,2.1,453,Very bad service and food was cold.
Flavour Hub,Mumbai,Chinese,1646,No,Yes,3.5,141,It was an okay experience.
Urban Bites,Bangalore,Italian,1833,No,No,1.8,295,"Terrible experience, will not come again."
Golden Spoon,Bangalore,Biryani,1036,No,No,1.6,218,Very bad service and food was cold.
Spice Garden,Mumbai,Italian,240,No,Yes,1.7,171,"Terrible experience, will not come again."
Golden Spoon,Pune,Desserts,554,No,Yes,2.5,491,Average taste and normal service.
Street Feast,Mumbai,Multi-cuisine,695,No,No,2.5,101,Decent place for casual dining.
Golden Spoon,Bangalore,Fast Food,1464,Yes,No,3.8,386,Nothing special but not bad either.
Happy Meals,Bangalore,Italian,1258,No,No,2.7,274,Decent place for casual dining.
Golden Spoon,Mumbai,South Indian,1509,Yes,No,4.9,207,"Highly recommended, great experience overall."
Urban Bites,Bangalore,North Indian,878,No,Yes,2.7,185,"Food was okay, service was average."
Tasty Treats,Pune,Desserts,1269,Yes,No,3.4,361,"Food was okay, service was average."
Happy Meals,Hyderabad,South Indian,1992,Yes,No,1.7,439,Very bad service and food was cold.
Royal Dine,Chennai,Desserts,1144,Yes,No,3.2,279,Decent place for casual dining.
Tasty Treats,Pune,Chinese,1094,Yes,Yes,4.6,161,Staff was friendly and food quality was top notch.
Flavour Hub,Pune,Chinese,1010,No,Yes,3.0,406,Average taste and normal service.
Tasty Treats,Hyderabad,South Indian,446,Yes,No,1.5,146,Very bad service and food was cold.
Golden Spoon,Mumbai,Chinese,943,Yes,Yes,2.8,439,Average taste and normal service.
Golden Spoon,Bangalore,Chinese,976,No,No,4.3,356,Loved the ambience and the taste was fantastic.
Spice Garden,Hyderabad,Biryani,1437,Yes,No,2.1,128,Staff was rude and slow.
Street Feast,Chennai,North Indian,1520,Yes,No,4.8,160,Staff was friendly and food quality was top notch.
Urban Bites,Delhi,Multi-cuisine,1369,No,Yes,2.6,130,Average taste and normal service.
Spice Garden,Delhi,Chinese,1764,Yes,No,2.7,494,It was an okay experience.
Happy Meals,Hyderabad,Fast Food,1308,No,No,3.6,347,"Food was okay, service was average."
Royal Dine,Mumbai,Italian,1850,No,No,3.6,483,Decent place for casual dining.
Street Feast,Delhi,Fast Food,529,No,Yes,2.2,438,Food quality was disappointing.
Street Feast,Mumbai,Desserts,1108,Yes,Yes,4.9,211,The food was amazing and service was excellent.
Happy Meals,Pune,Desserts,888,Yes,No,4.4,124,"Worth the money, will visit again."
Happy Meals,Chennai,Fast Food,516,Yes,Yes,2.5,309,Nothing special but not bad either.
Flavour Hub,Mumbai,North Indian,1610,Yes,Yes,2.4,211,Food quality was disappointing.
Street Feast,Mumbai,Chinese,1891,Yes,Yes,3.0,208,Nothing special but not bad either.
Urban Bites,Delhi,Multi-cuisine,892,Yes,Yes,3.7,453,Decent place for casual dining.
Curry House,Delhi,Biryani,1229,No,No,4.3,119,"Worth the money, will visit again."
Street Feast,Hyderabad,Fast Food,1402,No,No,3.0,383,Nothing special but not bad either.
Urban Bites,Hyderabad,Desserts,1388,Yes,No,4.1,120,The food was amazing and service was excellent.
Curry House,Bangalore,Chinese,586,No,Yes,1.9,367,Staff was rude and slow.
Urban Bites,Pune,Fast Food,1705,No,No,2.5,336,"Food was okay, service was average."
Spice Garden,Chennai,Desserts,1092,Yes,Yes,3.2,296,"Food was okay, service was average."
Street Feast,Delhi,Multi-cuisine,1191,Yes,Yes,3.0,225,It was an okay experience.
Happy Meals,Delhi,Biryani,1144,Yes,No,2.2,15,Staff was rude and slow.
Spice Garden,Mumbai,Fast Food,692,No,Yes,4.1,125,Loved the ambience and the taste was fantastic.
Spice Garden,Delhi,North Indian,1112,Yes,No,2.8,41,Nothing special but not bad either.
Curry House,Mumbai,Desserts,1940,Yes,No,3.3,101,Average taste and normal service.
Street Feast,Mumbai,Desserts,1510,No,Yes,2.8,479,Average taste and normal service.
Street Feast,Pune,Desserts,976,No,Yes,4.1,298,"Worth the money, will visit again."
Spice Garden,Mumbai,Multi-cuisine,1201,Yes,No,3.6,395,Average taste and normal service.
Street Feast,Pune,Biryani,886,Yes,Yes,4.5,163,"Highly recommended, great experience overall."
Urban Bites,Chennai,Multi-cuisine,747,Yes,No,4.1,315,"Highly recommended, great experience overall."
Royal Dine,Pune,Chinese,797,Yes,No,4.9,224,The food was amazing and service was excellent.
Royal Dine,Pune,Chinese,675,No,Yes,3.2,364,Nothing special but not bad either.
Food Palace,Hyderabad,Fast Food,1507,Yes,Yes,2.4,233,Staff was rude and slow.
Royal Dine,Pune,North Indian,668,Yes,Yes,1.5,61,Not worth the price at all.
Royal Dine,Delhi,South Indian,439,Yes,Yes,4.5,113,"Worth the money, will visit again."
Golden Spoon,Hyderabad,Biryani,527,Yes,No,4.7,447,"Worth the money, will visit again."
Flavour Hub,Hyderabad,Chinese,1001,No,Yes,1.7,381,Food quality was disappointing.
Tasty Treats,Hyderabad,Biryani,1032,No,No,2.3,222,Not worth the price at all.
Royal Dine,Chennai,Biryani,1834,Yes,No,2.0,64,Staff was rude and slow.
Food Palace,Bangalore,Biryani,980,Yes,Yes,3.0,347,Decent place for casual dining.
Flavour Hub,Delhi,Desserts,1470,Yes,Yes,2.0,474,Food quality was disappointing.
Happy Meals,Mumbai,South Indian,598,Yes,No,3.7,241,Decent place for casual dining.
Spice Garden,Mumbai,Chinese,1949,Yes,Yes,5.0,437,"Worth the money, will visit again."
Tasty Treats,Pune,Chinese,1771,No,Yes,3.2,169,"Food was okay, service was average."
Spice Garden,Chennai,Multi-cuisine,1937,No,No,3.8,199,Decent place for casual dining.
Tasty Treats,Chennai,North Indian,339,No,No,3.3,492,It was an okay experience.
Urban Bites,Pune,Fast Food,435,No,Yes,4.7,429,Loved the ambience and the taste was fantastic.
Urban Bites,Mumbai,Chinese,706,Yes,Yes,2.7,294,"Food was okay, service was average."
Royal Dine,Mumbai,Fast Food,290,No,Yes,2.8,259,Average taste and normal service.
Flavour Hub,Hyderabad,Fast Food,1622,Yes,No,2.9,178,"Food was okay, service was average."
Street Feast,Hyderabad,North Indian,1056,No,Yes,3.4,356,"Food was okay, service was average."
Flavour Hub,Pune,Biryani,589,No,Yes,1.7,250,Not worth the price at all.
Royal Dine,Hyderabad,Biryani,1834,Yes,No,2.1,299,Very bad service and food was cold.
Urban Bites,Delhi,Fast Food,739,No,Yes,4.3,10,"Worth the money, will visit again."
Curry House,Pune,Fast Food,1620,Yes,Yes,1.6,30,Not worth the price at all.
Curry House,Delhi,Multi-cuisine,1751,Yes,Yes,4.2,200,Staff was friendly and food quality was top notch.
Flavour Hub,Bangalore,Biryani,517,No,Yes,3.8,236,Average taste and normal service.
Urban Bites,Bangalore,Fast Food,1963,No,Yes,4.3,490,Loved the ambience and the taste was fantastic.
Urban Bites,Chennai,Desserts,1021,Yes,Yes,4.2,174,"Worth the money, will visit again."
Urban Bites,Chennai,North Indian,1531,Yes,No,4.8,275,The food was amazing and service was excellent.
Spice Garden,Hyderabad,Fast Food,441,No,No,3.3,149,Decent place for casual dining.
Street Feast,Chennai,Italian,705,Yes,Yes,2.5,96,"Food was okay, service was average."
Street Feast,Mumbai,Chinese,1032,Yes,No,2.4,257,Staff was rude and slow.
Curry House,Delhi,North Indian,1679,Yes,No,2.2,275,Not worth the price at all.
Royal Dine,Mumbai,Desserts,1952,Yes,Yes,3.8,301,Average taste and normal service.
Royal Dine,Delhi,Desserts,1038,Yes,No,3.0,377,It was an okay experience.
Urban Bites,Chennai,Fast Food,775,No,Yes,2.5,436,"Food was okay, service was average."
Happy Meals,Hyderabad,Desserts,1069,No,No,3.4,257,Nothing special but not bad either.
Tasty Treats,Bangalore,South Indian,594,Yes,No,3.7,361,It was an okay experience.
Street Feast,Hyderabad,Desserts,1253,No,No,4.1,142,"Worth the money, will visit again."
Curry House,Hyderabad,Desserts,1664,Yes,Yes,4.6,303,"Worth the money, will visit again."
Flavour Hub,Bangalore,South Indian,271,No,Yes,3.0,263,Nothing special but not bad either.
Curry House,Pune,Multi-cuisine,1376,No,Yes,2.7,359,"Food was okay, service was average."
Flavour Hub,Chennai,Multi-cuisine,1312,No,No,4.3,231,Staff was friendly and food quality was top notch.
Spice Garden,Pune,Italian,1911,No,No,2.1,19,Not worth the price at all.
Spice Garden,Delhi,Fast Food,341,No,No,2.0,108,"Terrible experience, will not come again."
Street Feast,Pune,Multi-cuisine,1208,Yes,No,3.8,260,Nothing special but not bad either.
Flavour Hub,Chennai,South Indian,1939,No,Yes,4.8,279,Loved the ambience and the taste was fantastic.
Golden Spoon,Chennai,Italian,504,No,No,1.7,106,Staff was rude and slow.
Tasty Treats,Mumbai,Biryani,846,Yes,No,2.4,386,Food quality was disappointing.
Urban Bites,Chennai,Fast Food,1895,No,No,2.0,497,Food quality was disappointing.
Urban Bites,Pune,Desserts,457,No,No,4.8,132,The food was amazing and service was excellent.
Spice Garden,Chennai,North Indian,1513,Yes,No,4.4,306,"Worth the money, will visit again."
Spice Garden,Delhi,Chinese,1479,No,No,4.5,474,The food was amazing and service was excellent.
Golden Spoon,Hyderabad,Chinese,908,Yes,No,2.2,253,Very bad service and food was cold.
Tasty Treats,Bangalore,Chinese,1956,Yes,No,3.3,148,Average taste and normal service.
Royal Dine,Hyderabad,Italian,1473,No,Yes,4.8,420,Staff was friendly and food quality was top notch.
Spice Garden,Delhi,Fast Food,832,No,No,1.8,30,Very bad service and food was cold.
Royal Dine,Chennai,South Indian,1011,No,No,2.5,229,Nothing special but not bad either.
Street Feast,Mumbai,Fast Food,1214,Yes,No,3.0,181,"Food was okay, service was average."
Happy Meals,Hyderabad,South Indian,1086,Yes,No,4.1,84,"Worth the money, will visit again."
Tasty Treats,Bangalore,South Indian,1918,No,Yes,3.2,196,"Food was okay, service was average."
Flavour Hub,Mumbai,Italian,1186,Yes,Yes,2.3,298,Very bad service and food was cold.
Curry House,Chennai,Multi-cuisine,206,No,No,3.1,162,Nothing special but not bad either.
Golden Spoon,Delhi,Fast Food,228,Yes,No,3.7,255,Average taste and normal service.
Urban Bites,Mumbai,Biryani,1589,Yes,No,3.3,100,Decent place for casual dining.
Flavour Hub,Mumbai,Desserts,1224,Yes,Yes,1.7,11,Not worth the price at all.
Curry House,Pune,Desserts,861,Yes,No,3.2,485,It was an okay experience.
Food Palace,Hyderabad,North Indian,1305,Yes,No,3.0,37,"Food was okay, service was average."
Happy Meals,Chennai,Fast Food,324,No,Yes,2.2,329,Very bad service and food was cold.
Happy Meals,Delhi,Chinese,892,No,Yes,4.7,236,"Worth the money, will visit again."
Urban Bites,Chennai,Italian,1250,Yes,Yes,3.5,352,Decent place for casual dining.
Urban Bites,Chennai,South Indian,340,Yes,Yes,4.7,157,Loved the ambience and the taste was fantastic.
Flavour Hub,Chennai,Multi-cuisine,512,Yes,Yes,4.9,45,"Highly recommended, great experience overall."
Urban Bites,Mumbai,Biryani,1942,Yes,Yes,2.2,216,Staff was rude and slow.
Urban Bites,Chennai,North Indian,288,Yes,No,4.7,344,The food was amazing and service was excellent.
Happy Meals,Pune,Multi-cuisine,1042,No,No,3.8,274,Nothing special but not bad either.
Royal Dine,Chennai,Multi-cuisine,1185,No,Yes,2.3,432,"Terrible experience, will not come again."
Food Palace,Hyderabad,Biryani,1601,Yes,Yes,4.8,57,"Worth the money, will visit again."
Food Palace,Delhi,Desserts,1679,No,No,4.6,458,"Worth the money, will visit again."
Happy Meals,Bangalore,Italian,1710,No,No,3.4,261,Average taste and normal service.
Street Feast,Hyderabad,Fast Food,1208,No,No,4.2,98,Loved the ambience and the taste was fantastic.
Flavour Hub,Bangalore,North Indian,1557,No,No,2.8,248,"Food was okay, service was average."
Royal Dine,Chennai,South Indian,1259,No,Yes,4.5,360,"Highly recommended, great experience overall."
Street Feast,Pune,Chinese,438,Yes,Yes,1.7,222,Staff was rude and slow.
Spice Garden,Pune,North Indian,943,Yes,No,2.7,486,It was an okay experience.
Royal Dine,Mumbai,Chinese,1824,No,Yes,2.2,280,"Terrible experience, will not come again."
Curry House,Pune,Italian,224,No,Yes,3.3,269,"Food was okay, service was average."
Urban Bites,Pune,Chinese,1493,Yes,No,3.0,156,Decent place for casual dining.
Happy Meals,Mumbai,Desserts,1760,Yes,No,3.2,310,Decent place for casual dining.
Food Palace,Pune,Desserts,1392,No,No,3.9,335,Nothing special but not bad either.
Tasty Treats,Pune,South Indian,1456,Yes,No,4.5,27,Staff was friendly and food quality was top notch.
Flavour Hub,Pune,Desserts,601,Yes,No,3.1,232,It was an okay experience.
Spice Garden,Mumbai,Multi-cuisine,242,Yes,No,4.1,228,"Worth the money, will visit again."
Street Feast,Mumbai,Biryani,947,No,No,2.5,332,Nothing special but not bad either.
Urban Bites,Chennai,Desserts,1986,No,No,3.5,177,"Food was okay, service was average."
Flavour Hub,Delhi,South Indian,890,Yes,Yes,5.0,475,Loved the ambience and the taste was fantastic.
Urban Bites,Hyderabad,Desserts,1887,Yes,No,3.7,87,"Food was okay, service was average."
Royal Dine,Delhi,South Indian,293,No,Yes,2.5,367,Average taste and normal service.
Happy Meals,Mumbai,Italian,1253,No,No,2.8,13,"Food was okay, service was average."
Food Palace,Bangalore,South Indian,1996,Yes,Yes,3.9,165,Nothing special but not bad either.
Royal Dine,Bangalore,South Indian,1128,Yes,Yes,4.6,175,The food was amazing and service was excellent.
Street Feast,Pune,Chinese,357,Yes,No,4.0,310,Loved the ambience and the taste was fantastic.
Spice Garden,Chennai,South Indian,952,No,No,3.5,215,Decent place for casual dining.
Flavour Hub,Pune,Biryani,655,Yes,Yes,1.9,196,Food quality was disappointing.
Flavour Hub,Bangalore,Chinese,1862,Yes,No,4.8,113,"Worth the money, will visit again."
Urban Bites,Pune,Desserts,1759,Yes,No,4.9,88,Loved the ambience and the taste was fantastic.
Food Palace,Chennai,Italian,513,Yes,No,3.5,314,"Food was okay, service was average."
Urban Bites,Delhi,Biryani,1238,Yes,No,4.5,474,"Worth the money, will visit again."
Golden Spoon,Delhi,Chinese,1604,Yes,No,1.6,425,Food quality was disappointing.
Golden Spoon,Delhi,Chinese,1105,Yes,No,3.8,184,Average taste and normal service.
Urban Bites,Chennai,Multi-cuisine,1417,No,Yes,1.5,304,Not worth the price at all.
Flavour Hub,Mumbai,Chinese,758,Yes,Yes,2.2,66,Not worth the price at all.
Urban Bites,Mumbai,South Indian,1608,No,No,4.7,328,The food was amazing and service was excellent.
Curry House,Bangalore,Italian,841,No,Yes,3.6,261,"Food was okay, service was average."
Curry House,Pune,South Indian,514,No,No,4.0,206,The food was amazing and service was excellent.
Urban Bites,Hyderabad,Fast Food,1263,Yes,Yes,2.5,281,Nothing special but not bad either.
Golden Spoon,Mumbai,South Indian,1460,No,Yes,2.9,124,Nothing special but not bad either.
Golden Spoon,Hyderabad,Fast Food,1431,Yes,No,4.9,395,"Highly recommended, great experience overall."
Spice Garden,Pune,Italian,897,No,Yes,2.0,345,Food quality was disappointing.
Food Palace,Pune,Italian,861,Yes,Yes,2.9,56,Average taste and normal service.
Tasty Treats,Bangalore,Multi-cuisine,1034,Yes,No,2.9,394,Nothing special but not bad either.
Spice Garden,Delhi,South Indian,406,Yes,No,2.3,326,"Terrible experience, will not come again."
Royal Dine,Pune,Biryani,1496,No,Yes,1.8,392,"Terrible experience, will not come again."
